Developer,Total_Sales,Avg_Critic_Score,Avg_User_Score,Title_Count
989 Sports,8.29,61.56,7.47,22
Sports Interactive,8.26,82.93,6.91,14
Cd Projekt Red Studio,8.24,88.43,8.83,4
Stormfront Studios,8.11,66.92,7.35,7
Argonaut Games,8.09,60.32,6.82,11
Magic Pockets,8.08,68.61,7.18,21
Crytek,8.05,79.36,7.09,7
Double Helix Games,8.03,60.18,6.51,10
"Ubisoft, Ubisoft Montreal",8.01,70.67,4.0,1
Evolution Studios,7.92,76.5,7.23,6
Shiny Entertainment,7.86,52.2,6.34,3
Fun Labs,7.8,62.91,7.04,23
Sce Japan Studio,7.73,77.12,7.91,17
Edge Of Reality,7.7,66.47,7.5,6
Atlus,7.69,80.79,8.33,17
Spike,7.53,57.94,6.95,12
Terminal Reality,7.5,65.22,6.87,14
Platinumgames,7.5,74.62,7.41,11
N-Space,7.35,63.0,6.26,14
Helixe,7.34,60.9,6.68,8
Monolith Productions,7.29,80.0,8.05,5
Arc System Works,7.08,74.74,7.45,28
Tri-Ace,7.03,75.18,8.06,9
Ea Montreal,7.0,70.1,7.42,7
Wayforward,6.93,67.33,7.18,30
"Ubisoft Paris, Ubisoft Montpellier",6.87,66.67,7.83,2
Exakt,6.84,67.75,7.86,7
Firaxis Games,6.82,87.15,7.7,7
Beenox,6.7,66.41,6.81,9
Frontier Developments,6.64,71.8,2.77,6
Rockstar Toronto,6.56,79.0,7.87,6
Avalanche Studios,6.55,75.67,7.21,3
Papaya Studios,6.52,61.88,6.53,7
Budcat,6.46,70.93,6.75,15
Massive Entertainment,6.45,79.8,7.06,3
5Th Cell,6.45,74.1,7.52,8
Jupiter Corporation,6.43,73.5,8.02,6
Ea Chicago,6.31,78.14,7.51,2
Freestylegames,6.2,78.8,6.99,5
Virtuos,6.19,70.42,7.16,15
Sand Grain Studios,6.11,66.23,7.76,11
Slightly Mad Studios,6.1,82.83,6.45,2
Cavia Inc.,6.1,60.92,7.22,12
Genius Sonority Inc.,6.03,65.0,7.25,4
Popcap,5.96,75.88,7.76,14
1St Playable Productions,5.94,71.08,7.16,12
Koei,5.88,68.1,7.88,28
Team Bondi,5.87,89.0,7.75,1
Zoe Mode,5.87,67.0,6.81,8
Webfoot Technologies,5.86,59.8,7.14,10
Red Storm Entertainment,5.81,71.25,7.11,7
Black Lantern Studios,5.79,63.21,7.33,22
Shaba Games,5.78,74.82,8.38,8
Page 44 Studios,5.74,67.38,7.44,11
Scea,5.71,70.25,7.26,12
Bizarre Creations,5.65,72.91,7.44,6
Amusement Vision,5.65,78.57,8.0,7
Virtual Toys,5.6,71.0,7.67,8
Blue Castle Games,5.59,71.33,6.94,4
Asobo Studio,5.53,64.0,7.04,8
Point Of View,5.48,63.14,7.24,15
Snowblind Studios,5.44,74.25,7.89,5
Spark Unlimited,5.41,56.1,6.61,4
Aki Corp.,5.4,76.71,8.19,5
Konami Computer Entertainment Hawaii,5.32,63.58,6.98,10
Now Production,5.32,65.91,7.39,13
