Publisher,Years_Active,First_Year,Last_Year,Total_Sales,Avg_Critic_Score,Title_Count
Takara Tomy,10,2006,2016,2.73,69.66,38
Midas Interactive Entertainment,12,1997,2009,2.71,65.92,24
Imagineer,10,1991,2001,2.65,71.0,16
Alchemist,9,2006,2015,2.63,71.0,43
Snk,12,1993,2005,2.59,71.09,19
Ncsoft,9,2005,2014,2.58,83.33,6
Rondomedia,7,2008,2015,2.52,68.57,14
Compile,3,1995,1998,2.46,71.0,6
Kalypso Media,9,2007,2016,2.42,67.24,22
Red Storm Entertainment,2,1999,2001,2.32,71.0,2
Uep Systems,0,1997,1997,2.25,71.0,1
Marvelous Entertainment,4,2012,2016,2.25,70.0,12
Enterbrain,9,2001,2010,2.23,69.6,15
Kemco,14,1991,2005,2.22,61.38,15
Video System,8,1992,2000,2.18,71.0,4
Mastiff,7,2004,2011,2.17,71.31,14
Asc Games,3,1996,1999,2.02,71.0,3
Microprose,12,1995,2007,2.02,71.0,6
Rtl,2,2007,2009,1.97,64.88,6
Success,16,1998,2014,1.94,68.16,19
Agetec,12,1997,2009,1.94,71.38,8
20Th Century Fox Video Games,1,1981,1982,1.94,71.0,5
Jaleco,13,1995,2008,1.94,65.57,19
Nobilis,3,2007,2010,1.91,66.62,12
Zushi Games,2,2007,2009,1.86,69.06,14
Metro 3D,7,2001,2008,1.84,61.42,12
Rocket Company,10,2006,2016,1.82,71.0,17
Little Orbit,5,2010,2015,1.76,69.35,8
System 3 Arcade Software,3,2006,2009,1.74,69.93,10
Crystal Dynamics,1,1995,1996,1.71,71.0,5
Valve,0,2011,2011,1.7,95.0,1
Hello Games,0,2016,2016,1.7,71.0,1
Hudson Entertainment,12,1997,2009,1.69,68.36,11
Accolade,3,1996,1999,1.68,71.0,3
5Pb,8,2008,2016,1.66,70.94,47
From Software,19,1994,2013,1.63,64.53,15
Avanquest Software,3,2012,2015,1.62,71.0,6
Xplosiv,3,2005,2008,1.62,53.6,5
Mastertronic,6,2006,2012,1.61,69.0,13
Popcap Games,5,2006,2011,1.57,77.33,12
Touchstone,1,2007,2008,1.56,69.75,2
Lego Media,3,1999,2002,1.56,71.0,6
Westwood Studios,0,1999,1999,1.55,71.0,1
Laguna,2,1993,1995,1.55,71.0,4
Storm City Games,2,2009,2011,1.51,67.37,17
Slightly Mad Studios,0,2015,2015,1.48,82.33,1
Genki,13,1999,2012,1.46,63.62,8
Knowledge Adventure,6,2003,2009,1.46,70.25,4
Xs Games,8,2002,2010,1.44,62.67,9
Rage Software,1,2001,2002,1.42,70.14,5
Tigervision,1,1981,1982,1.42,71.0,3
Arc System Works,8,2008,2016,1.41,69.52,23
Jowood Productions,8,2002,2010,1.41,66.09,18
Pinnacle,1,2008,2009,1.4,73.6,4
Gamemill Entertainment,4,2010,2014,1.36,71.0,11
Furyu,6,2010,2016,1.36,70.29,25
Compile Heart,8,2008,2016,1.36,68.9,20
Newkidco,5,1998,2003,1.33,68.22,7
Aqua Plus,17,1999,2016,1.29,71.17,17
Sony Computer Entertainment America,0,2014,2014,1.26,77.33,1
Brash Entertainment,1,2007,2008,1.23,61.3,4
